school_visible_id,fellow_visible_id,group_name,session_number,session_date
ANS23_School_1,TFW23_S_070,2_S41,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_070,2_S41,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_070,2_S41,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_069,2_S42,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_069,2_S42,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_069,2_S42,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_069,2_S42,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_069,2_S42,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_068,2_S43,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_068,2_S43,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_068,2_S43,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_068,2_S43,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_068,2_S43,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_067,2_S44,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_067,2_S44,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_067,2_S44,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_067,2_S44,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_067,2_S44,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_066,2_S45,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_066,2_S45,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_066,2_S45,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_066,2_S45,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_066,2_S45,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_065,2_S46,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_065,2_S46,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_065,2_S46,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_065,2_S46,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_065,2_S46,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_064,2_S47,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_064,2_S47,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_064,2_S47,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_064,2_S47,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_064,2_S47,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_062,2_S48,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_062,2_S48,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_062,2_S48,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_062,2_S48,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_062,2_S48,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_061,2_S49,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_061,2_S49,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_061,2_S49,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_061,2_S49,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_061,2_S49,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_031,2_S51,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_031,2_S51,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_031,2_S51,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_031,2_S51,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_031,2_S51,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_037,2_S52,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_037,2_S52,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_037,2_S52,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_037,2_S52,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_037,2_S52,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_039,2_S53,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_039,2_S53,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_039,2_S53,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_039,2_S53,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_039,2_S53,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_038,2_S54,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_038,2_S54,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_038,2_S54,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_038,2_S54,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_038,2_S54,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_040,2_S55,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_040,2_S55,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_040,2_S55,2,2023-05-28 21:00:00
